accountsservice 0.6.55-2
haskell-regex-base 0.94.0.0-4
haskell-regex-compat 0.95.2.0-4
haskell-regex-posix 0.96.0.0-4
haskell-resourcet 1.2.4.2-2
haskell-safe-exceptions 0.1.7.0-79
haskell-scientific 0.3.6.2-25
haskell-semigroupoids 5.3.4-34
haskell-setlocale 1.0.0.9-5
haskell-socks 0.6.1-30
haskell-split 0.2.3.4-34
haskell-statevar 1.2-2
haskell-streaming-commons 0.2.1.2-24
haskell-tagged 0.8.6-10
haskell-th-abstraction 0.3.2.0-4
haskell-th-lift 0.8.1-5
haskell-these 1.1-4
haskell-time-compat 1.9.3-9
haskell-timezone-olson 0.1.9-5
haskell-timezone-series 0.1.9-5
haskell-tls 1.5.4-17
haskell-transformers-base 0.4.5.2-70
haskell-transformers-compat 0.6.5-5
haskell-typed-process 0.2.6.0-34
haskell-unliftio-core 0.2.0.1-2
haskell-unordered-containers 0.2.11.0-4
haskell-utf8-string 1.0.1.1-17
haskell-uuid-types 1.0.3-31
haskell-vector 0.12.1.2-25
haskell-vector-algorithms 0.8.0.3-23
haskell-void 0.7.3-12
haskell-x11 1.9.1-24
haskell-x11-xft 0.3.1-78
haskell-x509 1.7.5-64
haskell-x509-store 1.6.7-63
haskell-x509-system 1.6.6-131
haskell-x509-validation 1.6.11-63
haskell-xml-conduit 1.9.0.0-30
haskell-xml-types 0.3.7-1
haskell-zlib 0.6.2.1-5
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
hunspell 1.7.0-3
hwids 20200306-1
hyphen 2.8.8-3
i3lock-color 2.12.c.4-1
iana-etc 20200707-1
icu 67.1-1
ijs 0.35-3
imagemagick 7.0.10.23-1
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
iso-codes 4.5.0-1
isync 1.3.1-2
iwd 1.8-1
jack 0.125.0-9
jansson 2.13.1-1
js52 52.9.0-4
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
kbd 2.2.0-5
keepassxc 2.6.0-1
keyutils 1.6.3-1
kmod 27-1
krb5 1.18.2-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.11-2
ldns 1.7.1-2
less 551-3
libabw 0.1.3-2
libaio 0.3.112-2
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.4.3-1
libass 0.14.0-2
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.10-2
libavc1394 0.5.4-4
libblockdev 2.24-1
libbluray 1.2.0-3
libbytesize 2.3-1
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.37-1
libcap-ng 0.7.10-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.6-2
libcmis 0.5.2-4
libconfig 1.7.2-3
libcroco 0.6.13-2
libcups 2.3.3-2
libdaemon 0.14-5
libdatrie 0.2.12-2
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdrm 2.4.102-1
libe-book 0.1.3-7
libedit 20191231_3.1-1
libelf 0.180-1
libepoxy 1.5.4-2
libepubgen 0.1.1-2
libetonyek 0.1.9-2
libev 4.33-1
libevdev 1.9.1-1
libexif 0.6.22-1
libexttextcat 3.4.5-2
libffi 3.3-3
libfm 1.3.1-2
libfm-extra 1.3.1-2
libfm-gtk2 1.3.1-2
libfontenc 1.1.4-3
libfreehand 0.1.2-3
libgcrypt 1.8.6-1
libgee 0.20.3-2
libglvnd 1.3.2-1
libgnomekbd 3.26.1+2+g8d02ebd-2
libgpg-error 1.38-1
libgphoto2 2.5.25-1
libgudev 233-2
libgusb 0.3.4-1
libibus 1.5.22+8+gf591381e-1
libice 1.0.10-3
libidn2 2.3.0-1
libiec61883 1.2.0-6
libieee1284 0.2.11-9
libimagequant 2.12.6-1
libimobiledevice 1.3.0-1
libindicator-gtk3 12.10.1-9
libinput 1.15.6-1
libixion 0.15.0-1
libjpeg-turbo 2.0.5-1
libkeybinder3 0.3.2-3
libksba 1.4.0-1
liblangtag 0.6.3-2
libldap 2.4.50-2
liblouis 3.14.0-1
liblqr 0.4.2-3
libmagick6 6.9.11.23-1
libmfx 20.2.0-1
libmicrohttpd 0.9.71-1
libmm-glib 1.14.0-1
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.1.0-2
libmspub 0.1.4-7
libmwaw 0.3.16-1
libndp 1.7-2
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-4
libnftnl 1.1.7-1
libnghttp2 1.41.0-1
libnl 3.5.0-2
libnm 1.26.0-1
libnma 1.8.30-1
libnotify 0.7.9-1
libnsl 1.2.0-2
libnumbertext 1.0.6-1
libodfgen 0.1.7-2
libogg 1.3.4-2
libomxil-bellagio 0.9.3-3
liborcus 0.15.4-1
libotf 0.9.16-3
libp11-kit 0.23.20-5
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-2
libpgm 5.2.122-5
libpipeline 1.5.2-1
libplist 2.2.0-1
libpng 1.6.37-3
libproxy 0.4.15+33+g454a499-2
libpsl 0.21.0-2
libpulse 13.0-3
libqxp 0.0.2-4
libraqm 0.7.0-2
libraw1394 2.1.2-3
libreoffice-fresh 6.4.5-2
libreoffice-fresh-de 6.4.5-1
librevenge 0.0.4-3
librsvg 2:2.48.8-1
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libseccomp 2.4.2-1
libsecret 0.20.3-1
libsigc++ 2.10.3-1
libsm 1.2.3-2
libsndfile 1.0.28-3
libsodium 1.0.18-2
libsoup 2.70.0-1
libsoxr 0.1.3-2
libssh 0.9.4-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libtasn1 4.16.0-1
libteam 1.30-1
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.1.0-2
libtirpc 1.2.6-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-13
libunistring 0.9.10-2
libunwind 1.3.1-2
libusb 1.0.23-2
libusbmuxd 2.0.2-1
libutil-linux 2.35.2-1
libva 2.8.0-1
libvdpau 1.4-1
libvisio 0.1.7-3
libvorbis 1.3.7-2
libvpx 1.8.2-2
libwacom 1.4.1-1
libwebp 1.1.0-1
libwpd 0.10.3-2
libwpe 1.6.0-1
libwpg 0.3.3-2
libwps 0.4.11-1
libx11 1.6.9-7
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-2
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzmf 0.0.2-8
licenses 20200427-1
linux 5.7.9.arch1-1
linux-api-headers 5.6.11-1
linux-firmware 20200519.8ba6fa6-1
llvm-libs 10.0.0-2
lm_sensors 3.6.0-2
lpsolve 5.5.2.5-4
lvm2 2.02.187-3
lxmenu-data 0.1.5-3
lz4 1:1.9.2-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-7
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
md4c 0.4.4-1
mdadm 4.1-2
menu-cache 1.1.0-2
mesa 20.1.3-1
mkinitcpio 28-1
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-2
mpfr 4.0.2-2
mtdev 1.1.6-1
mu 1.4.10-1
muffin 4.6.1-1
ncurses 6.2-1
ndctl 68-2
nemo 4.6.4-1
neon 0.31.2-1
net-snmp 5.8-6
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.0-1
nitrogen 1.6.1-3
nm-connection-editor 1.18.0-1
npth 1.6-2
nspr 4.26-1
nss 3.54-1
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openssh 8.3p1-2
openssl 1.1.1.g-2
opus 1.3.1-2
orc 0.4.31-2
p11-kit 0.23.20-5
pacman 5.2.2-1
pacman-mirrorlist 20200606-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
parted 3.3-2
patch 2.7.6-8
pciutils 3.7.0-1
pcmanfm 1.3.1-2
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
picom 8-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.116-5
polkit-gnome 0.105-5
poppler 0.90.1-1
popt 1.18-1
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pygobject-devel 3.36.1-1
python 3.8.3-1
python-atspi 2.36.0-1
python-cairo 1.19.1-1
